dataset,attribute,group,algorithm,set,iterations,error,classifier_type,classification_algorithm,asian_0.0_a_train_set_,asian_0.0_b_predicted_set_,asian_0.0_c_predictions_set_,asian_1.0_a_train_set_,asian_1.0_b_predicted_set_,asian_1.0_c_predictions_set_,black_0.0_a_train_set_,black_0.0_b_predicted_set_,black_0.0_c_predictions_set_,black_1.0_a_train_set_,black_1.0_b_predicted_set_,black_1.0_c_predictions_set_,hisp_0.0_a_train_set_,hisp_0.0_b_predicted_set_,hisp_1.0_a_train_set_,hisp_1.0_b_predicted_set_,hisp_1.0_c_predictions_set_,other_0.0_a_train_set_,other_0.0_b_predicted_set_,other_1.0_a_train_set_,other_1.0_b_predicted_set_,other_1.0_c_predictions_set_,white_0.0_a_train_set_,white_0.0_b_predicted_set_,white_1.0_a_train_set_,white_1.0_b_predicted_set_,white_1.0_c_predictions_set_,hisp_0.0_c_predictions_set_,other_0.0_c_predictions_set_,white_0.0_c_predictions_set_
Law School Admission Bar Passage,race1,black,Massaging,Validation,1,False,Surrogate,LogisticRegression,0.0033,0.0029,0.0355,0.0356,0.0385,0.0030,0.0132,0.0556,0.0453,0.0585,0.0057,0.0059,0.0396,0.0395,0.0453,0.0020,0.0020,0.0163,0.0166,0.0185,0.0370,0.0273,0.8021,0.8118,0.8391,0.0000,0.0000,0.0000,0.0000,0.0000
Law School Admission Bar Passage,race1,black,Massaging,Validation,1,False,Surrogate,SVC,0.0033,0.0029,0.0355,0.0356,0.0380,0.0030,0.0132,0.0556,0.0453,0.0585,0.0057,0.0059,0.0396,0.0395,0.0453,0.0020,0.0020,0.0163,0.0166,0.0185,0.0370,0.0273,0.8021,0.8118,0.8391,0.0005,0.0000,0.0000,0.0000,0.0000
Law School Admission Bar Passage,race1,black,Massaging,Validation,1,False,Surrogate,GaussianNB,0.0033,0.0029,0.0355,0.0356,0.0361,0.0030,0.0132,0.0556,0.0453,0.0517,0.0057,0.0059,0.0396,0.0395,0.0410,0.0020,0.0020,0.0163,0.0166,0.0176,0.0370,0.0273,0.8021,0.8118,0.8167,0.0024,0.0068,0.0044,0.0010,0.0224
Law School Admission Bar Passage,race1,black,Massaging,Validation,1,False,Surrogate,DecisionTreeClassifier,0.0033,0.0029,0.0355,0.0356,0.0366,0.0030,0.0132,0.0556,0.0453,0.0556,0.0057,0.0059,0.0396,0.0395,0.0429,0.0020,0.0020,0.0163,0.0166,0.0166,0.0370,0.0273,0.8021,0.8118,0.7806,0.0020,0.0029,0.0024,0.0020,0.0585
Law School Admission Bar Passage,race1,black,Massaging,Validation,1,False,Surrogate,RandomForestClassifier,0.0033,0.0029,0.0355,0.0356,0.0371,0.0030,0.0132,0.0556,0.0453,0.0580,0.0057,0.0059,0.0396,0.0395,0.0439,0.0020,0.0020,0.0163,0.0166,0.0176,0.0370,0.0273,0.8021,0.8118,0.8235,0.0015,0.0005,0.0015,0.0010,0.0156
Law School Admission Bar Passage,race1,black,Massaging,Test,1,False,Surrogate,LogisticRegression,0.0033,0.0029,0.0355,0.0361,0.0390,0.0030,0.0132,0.0556,0.0458,0.0590,0.0057,0.0054,0.0396,0.0400,0.0453,0.0020,0.0015,0.0163,0.0166,0.0180,0.0370,0.0273,0.8021,0.8114,0.8387,0.0000,0.0000,0.0000,0.0000,0.0000
Law School Admission Bar Passage,race1,black,Massaging,Test,1,False,Surrogate,SVC,0.0033,0.0029,0.0355,0.0361,0.0385,0.0030,0.0132,0.0556,0.0458,0.0590,0.0057,0.0054,0.0396,0.0400,0.0453,0.0020,0.0015,0.0163,0.0166,0.0180,0.0370,0.0273,0.8021,0.8114,0.8387,0.0005,0.0000,0.0000,0.0000,0.0000
Law School Admission Bar Passage,race1,black,Massaging,Test,1,False,Surrogate,GaussianNB,0.0033,0.0029,0.0355,0.0361,0.0375,0.0030,0.0132,0.0556,0.0458,0.0468,0.0057,0.0054,0.0396,0.0400,0.0390,0.0020,0.0015,0.0163,0.0166,0.0166,0.0370,0.0273,0.8021,0.8114,0.8129,0.0015,0.0122,0.0063,0.0015,0.0258
Law School Admission Bar Passage,race1,black,Massaging,Test,1,False,Surrogate,DecisionTreeClassifier,0.0033,0.0029,0.0355,0.0361,0.0370,0.0030,0.0132,0.0556,0.0458,0.0565,0.0057,0.0054,0.0396,0.0400,0.0414,0.0020,0.0015,0.0163,0.0166,0.0161,0.0370,0.0273,0.8021,0.8114,0.7851,0.0019,0.0024,0.0039,0.0019,0.0536
Law School Admission Bar Passage,race1,black,Massaging,Test,1,False,Surrogate,RandomForestClassifier,0.0033,0.0029,0.0355,0.0361,0.0375,0.0030,0.0132,0.0556,0.0458,0.0575,0.0057,0.0054,0.0396,0.0400,0.0448,0.0020,0.0015,0.0163,0.0166,0.0180,0.0370,0.0273,0.8021,0.8114,0.8241,0.0015,0.0015,0.0005,0.0000,0.0146
Law School Admission Bar Passage,race1,black,Massaging,Validation,1,False,Target,XGBClassifier,0.0033,0.0029,0.0355,0.0356,0.0380,0.0030,0.0132,0.0556,0.0453,0.0570,0.0057,0.0059,0.0396,0.0395,0.0449,0.0020,0.0020,0.0163,0.0166,0.0171,0.0370,0.0273,0.8021,0.8118,0.8201,0.0005,0.0015,0.0005,0.0015,0.0190
Law School Admission Bar Passage,race1,black,Massaging,Test,1,False,Target,XGBClassifier,0.0033,0.0029,0.0355,0.0361,0.0385,0.0030,0.0132,0.0556,0.0458,0.0585,0.0057,0.0054,0.0396,0.0400,0.0443,0.0020,0.0015,0.0163,0.0166,0.0180,0.0370,0.0273,0.8021,0.8114,0.8250,0.0005,0.0005,0.0010,0.0000,0.0136
Law School Admission Bar Passage,race1,black,Massaging,Validation,2,False,Surrogate,LogisticRegression,0.0033,0.0029,0.0355,0.0356,0.0385,0.0030,0.0132,0.0556,0.0453,0.0585,0.0057,0.0059,0.0396,0.0395,0.0453,0.0020,0.0020,0.0163,0.0166,0.0185,0.0370,0.0273,0.8021,0.8118,0.8391,0.0000,0.0000,0.0000,0.0000,0.0000
Law School Admission Bar Passage,race1,black,Massaging,Validation,2,False,Surrogate,SVC,0.0033,0.0029,0.0355,0.0356,0.0380,0.0030,0.0132,0.0556,0.0453,0.0585,0.0057,0.0059,0.0396,0.0395,0.0453,0.0020,0.0020,0.0163,0.0166,0.0185,0.0370,0.0273,0.8021,0.8118,0.8391,0.0005,0.0000,0.0000,0.0000,0.0000
Law School Admission Bar Passage,race1,black,Massaging,Validation,2,False,Surrogate,GaussianNB,0.0033,0.0029,0.0355,0.0356,0.0361,0.0030,0.0132,0.0556,0.0453,0.0517,0.0057,0.0059,0.0396,0.0395,0.0410,0.0020,0.0020,0.0163,0.0166,0.0176,0.0370,0.0273,0.8021,0.8118,0.8167,0.0024,0.0068,0.0044,0.0010,0.0224
Law School Admission Bar Passage,race1,black,Massaging,Validation,2,False,Surrogate,DecisionTreeClassifier,0.0033,0.0029,0.0355,0.0356,0.0366,0.0030,0.0132,0.0556,0.0453,0.0556,0.0057,0.0059,0.0396,0.0395,0.0429,0.0020,0.0020,0.0163,0.0166,0.0166,0.0370,0.0273,0.8021,0.8118,0.7806,0.0020,0.0029,0.0024,0.0020,0.0585
Law School Admission Bar Passage,race1,black,Massaging,Validation,2,False,Surrogate,RandomForestClassifier,0.0033,0.0029,0.0355,0.0356,0.0371,0.0030,0.0132,0.0556,0.0453,0.0580,0.0057,0.0059,0.0396,0.0395,0.0439,0.0020,0.0020,0.0163,0.0166,0.0176,0.0370,0.0273,0.8021,0.8118,0.8235,0.0015,0.0005,0.0015,0.0010,0.0156
Law School Admission Bar Passage,race1,black,Massaging,Test,2,False,Surrogate,LogisticRegression,0.0033,0.0029,0.0355,0.0361,0.0390,0.0030,0.0132,0.0556,0.0458,0.0590,0.0057,0.0054,0.0396,0.0400,0.0453,0.0020,0.0015,0.0163,0.0166,0.0180,0.0370,0.0273,0.8021,0.8114,0.8387,0.0000,0.0000,0.0000,0.0000,0.0000
Law School Admission Bar Passage,race1,black,Massaging,Test,2,False,Surrogate,SVC,0.0033,0.0029,0.0355,0.0361,0.0385,0.0030,0.0132,0.0556,0.0458,0.0590,0.0057,0.0054,0.0396,0.0400,0.0453,0.0020,0.0015,0.0163,0.0166,0.0180,0.0370,0.0273,0.8021,0.8114,0.8387,0.0005,0.0000,0.0000,0.0000,0.0000
Law School Admission Bar Passage,race1,black,Massaging,Test,2,False,Surrogate,GaussianNB,0.0033,0.0029,0.0355,0.0361,0.0375,0.0030,0.0132,0.0556,0.0458,0.0468,0.0057,0.0054,0.0396,0.0400,0.0390,0.0020,0.0015,0.0163,0.0166,0.0166,0.0370,0.0273,0.8021,0.8114,0.8129,0.0015,0.0122,0.0063,0.0015,0.0258
Law School Admission Bar Passage,race1,black,Massaging,Test,2,False,Surrogate,DecisionTreeClassifier,0.0033,0.0029,0.0355,0.0361,0.0370,0.0030,0.0132,0.0556,0.0458,0.0565,0.0057,0.0054,0.0396,0.0400,0.0414,0.0020,0.0015,0.0163,0.0166,0.0161,0.0370,0.0273,0.8021,0.8114,0.7851,0.0019,0.0024,0.0039,0.0019,0.0536
Law School Admission Bar Passage,race1,black,Massaging,Test,2,False,Surrogate,RandomForestClassifier,0.0033,0.0029,0.0355,0.0361,0.0375,0.0030,0.0132,0.0556,0.0458,0.0575,0.0057,0.0054,0.0396,0.0400,0.0448,0.0020,0.0015,0.0163,0.0166,0.0180,0.0370,0.0273,0.8021,0.8114,0.8241,0.0015,0.0015,0.0005,0.0000,0.0146
Law School Admission Bar Passage,race1,black,Massaging,Validation,2,False,Target,XGBClassifier,0.0033,0.0029,0.0355,0.0356,0.0380,0.0030,0.0132,0.0556,0.0453,0.0570,0.0057,0.0059,0.0396,0.0395,0.0449,0.0020,0.0020,0.0163,0.0166,0.0171,0.0370,0.0273,0.8021,0.8118,0.8201,0.0005,0.0015,0.0005,0.0015,0.0190
Law School Admission Bar Passage,race1,black,Massaging,Test,2,False,Target,XGBClassifier,0.0033,0.0029,0.0355,0.0361,0.0385,0.0030,0.0132,0.0556,0.0458,0.0585,0.0057,0.0054,0.0396,0.0400,0.0443,0.0020,0.0015,0.0163,0.0166,0.0180,0.0370,0.0273,0.8021,0.8114,0.8250,0.0005,0.0005,0.0010,0.0000,0.0136
Law School Admission Bar Passage,race1,hisp,Massaging,Validation,1,False,Surrogate,LogisticRegression,0.0030,0.0029,0.0358,0.0356,0.0385,0.0130,0.0132,0.0455,0.0453,0.0585,0.0023,0.0059,0.0430,0.0395,0.0453,0.0018,0.0020,0.0165,0.0166,0.0185,0.0307,0.0273,0.8084,0.8118,0.8391,0.0000,0.0000,0.0000,0.0000,0.0000
Law School Admission Bar Passage,race1,hisp,Massaging,Validation,1,False,Surrogate,SVC,0.0030,0.0029,0.0358,0.0356,0.0385,0.0130,0.0132,0.0455,0.0453,0.0585,0.0023,0.0059,0.0430,0.0395,0.0453,0.0018,0.0020,0.0165,0.0166,0.0185,0.0307,0.0273,0.8084,0.8118,0.8391,0.0000,0.0000,0.0000,0.0000,0.0000
Law School Admission Bar Passage,race1,hisp,Massaging,Validation,1,False,Surrogate,GaussianNB,0.0030,0.0029,0.0358,0.0356,0.0244,0.0130,0.0132,0.0455,0.0453,0.0229,0.0023,0.0059,0.0430,0.0395,0.0215,0.0018,0.0020,0.0165,0.0166,0.0132,0.0307,0.0273,0.8084,0.8118,0.6953,0.0141,0.0356,0.0239,0.0054,0.1438
Law School Admission Bar Passage,race1,hisp,Massaging,Validation,1,False,Surrogate,DecisionTreeClassifier,0.0030,0.0029,0.0358,0.0356,0.0366,0.0130,0.0132,0.0455,0.0453,0.0536,0.0023,0.0059,0.0430,0.0395,0.0434,0.0018,0.0020,0.0165,0.0166,0.0161,0.0307,0.0273,0.8084,0.8118,0.7757,0.0020,0.0049,0.0020,0.0024,0.0634
Law School Admission Bar Passage,race1,hisp,Massaging,Validation,1,False,Surrogate,RandomForestClassifier,0.0030,0.0029,0.0358,0.0356,0.0380,0.0130,0.0132,0.0455,0.0453,0.0580,0.0023,0.0059,0.0430,0.0395,0.0439,0.0018,0.0020,0.0165,0.0166,0.0180,0.0307,0.0273,0.8084,0.8118,0.8289,0.0005,0.0005,0.0015,0.0005,0.0102
Law School Admission Bar Passage,race1,hisp,Massaging,Test,1,False,Surrogate,LogisticRegression,0.0030,0.0029,0.0358,0.0361,0.0390,0.0130,0.0132,0.0455,0.0458,0.0590,0.0023,0.0054,0.0430,0.0400,0.0453,0.0018,0.0015,0.0165,0.0166,0.0180,0.0307,0.0273,0.8084,0.8114,0.8387,0.0000,0.0000,0.0000,0.0000,0.0000
