dataset,attribute,group,algorithm,set,iterations,error,classifier_type,classification_algorithm,asian_0.0_a_train_set_,asian_0.0_b_predicted_set_,asian_1.0_a_train_set_,asian_1.0_b_predicted_set_,asian_1.0_c_predictions_set_,black_0.0_a_train_set_,black_0.0_b_predicted_set_,black_0.0_c_predictions_set_,black_1.0_a_train_set_,black_1.0_b_predicted_set_,black_1.0_c_predictions_set_,hisp_0.0_a_train_set_,hisp_0.0_b_predicted_set_,hisp_1.0_a_train_set_,hisp_1.0_b_predicted_set_,hisp_1.0_c_predictions_set_,other_0.0_a_train_set_,other_0.0_b_predicted_set_,other_1.0_a_train_set_,other_1.0_b_predicted_set_,other_1.0_c_predictions_set_,white_0.0_a_train_set_,white_0.0_b_predicted_set_,white_1.0_a_train_set_,white_1.0_b_predicted_set_,white_1.0_c_predictions_set_,asian_0.0_c_predictions_set_,hisp_0.0_c_predictions_set_,other_0.0_c_predictions_set_,white_0.0_c_predictions_set_
Law School Admission Bar Passage,race1,NA,NA,Validation,0,False,Target,XGBClassifier,0.0030,0.0029,0.0358,0.0356,0.0385,0.0130,0.0132,0.0068,0.0455,0.0453,0.0517,0.0056,0.0059,0.0397,0.0395,0.0439,0.0018,0.0020,0.0165,0.0166,0.0180,0.0274,0.0273,0.8117,0.8118,0.8347,0.0000,0.0015,0.0005,0.0044
Law School Admission Bar Passage,race1,NA,NA,Test,0,False,Target,XGBClassifier,0.0030,0.0029,0.0358,0.0361,0.0385,0.0130,0.0132,0.0058,0.0455,0.0458,0.0531,0.0056,0.0054,0.0397,0.0400,0.0448,0.0018,0.0015,0.0165,0.0166,0.0166,0.0274,0.0273,0.8117,0.8114,0.8377,0.0005,0.0005,0.0015,0.0010
Law School Admission Bar Passage,race1,asian,Massaging,Validation,1,False,Surrogate,LogisticRegression,0.0020,0.0029,0.0367,0.0356,0.0385,0.0130,0.0132,0.0455,0.0453,0.0585,0.0056,0.0059,0.0397,0.0395,0.0453,0.0018,0.0020,0.0165,0.0166,0.0185,0.0284,0.0273,0.8107,0.8118,0.8391,0.0000,0.0000,0.0000,0.0000,0.0000
Law School Admission Bar Passage,race1,asian,Massaging,Validation,1,False,Surrogate,SVC,0.0020,0.0029,0.0367,0.0356,0.0385,0.0130,0.0132,0.0455,0.0453,0.0585,0.0056,0.0059,0.0397,0.0395,0.0453,0.0018,0.0020,0.0165,0.0166,0.0185,0.0284,0.0273,0.8107,0.8118,0.8391,0.0000,0.0000,0.0000,0.0000,0.0000
Law School Admission Bar Passage,race1,asian,Massaging,Validation,1,False,Surrogate,GaussianNB,0.0020,0.0029,0.0367,0.0356,0.0278,0.0130,0.0132,0.0455,0.0453,0.0185,0.0056,0.0059,0.0397,0.0395,0.0234,0.0018,0.0020,0.0165,0.0166,0.0102,0.0284,0.0273,0.8107,0.8118,0.5266,0.0107,0.0400,0.0219,0.0083,0.3125
Law School Admission Bar Passage,race1,asian,Massaging,Validation,1,False,Surrogate,DecisionTreeClassifier,0.0020,0.0029,0.0367,0.0356,0.0361,0.0130,0.0132,0.0455,0.0453,0.0536,0.0056,0.0059,0.0397,0.0395,0.0410,0.0018,0.0020,0.0165,0.0166,0.0166,0.0284,0.0273,0.8107,0.8118,0.8016,0.0024,0.0049,0.0044,0.0020,0.0375
Law School Admission Bar Passage,race1,asian,Massaging,Validation,1,False,Surrogate,RandomForestClassifier,0.0020,0.0029,0.0367,0.0356,0.0371,0.0130,0.0132,0.0455,0.0453,0.0570,0.0056,0.0059,0.0397,0.0395,0.0453,0.0018,0.0020,0.0165,0.0166,0.0185,0.0284,0.0273,0.8107,0.8118,0.8323,0.0015,0.0015,0.0000,0.0000,0.0068
Law School Admission Bar Passage,race1,asian,Massaging,Test,1,False,Surrogate,LogisticRegression,0.0020,0.0029,0.0367,0.0361,0.0390,0.0130,0.0132,0.0455,0.0458,0.0590,0.0056,0.0054,0.0397,0.0400,0.0453,0.0018,0.0015,0.0165,0.0166,0.0180,0.0284,0.0273,0.8107,0.8114,0.8387,0.0000,0.0000,0.0000,0.0000,0.0000
Law School Admission Bar Passage,race1,asian,Massaging,Test,1,False,Surrogate,SVC,0.0020,0.0029,0.0367,0.0361,0.0390,0.0130,0.0132,0.0455,0.0458,0.0590,0.0056,0.0054,0.0397,0.0400,0.0453,0.0018,0.0015,0.0165,0.0166,0.0180,0.0284,0.0273,0.8107,0.8114,0.8387,0.0000,0.0000,0.0000,0.0000,0.0000
Law School Admission Bar Passage,race1,asian,Massaging,Test,1,False,Surrogate,GaussianNB,0.0020,0.0029,0.0367,0.0361,0.0258,0.0130,0.0132,0.0455,0.0458,0.0132,0.0056,0.0054,0.0397,0.0400,0.0205,0.0018,0.0015,0.0165,0.0166,0.0073,0.0284,0.0273,0.8107,0.8114,0.5429,0.0132,0.0458,0.0249,0.0107,0.2958
Law School Admission Bar Passage,race1,asian,Massaging,Test,1,False,Surrogate,DecisionTreeClassifier,0.0020,0.0029,0.0367,0.0361,0.0375,0.0130,0.0132,0.0455,0.0458,0.0507,0.0056,0.0054,0.0397,0.0400,0.0434,0.0018,0.0015,0.0165,0.0166,0.0156,0.0284,0.0273,0.8107,0.8114,0.7963,0.0015,0.0083,0.0019,0.0024,0.0424
Law School Admission Bar Passage,race1,asian,Massaging,Test,1,False,Surrogate,RandomForestClassifier,0.0020,0.0029,0.0367,0.0361,0.0380,0.0130,0.0132,0.0455,0.0458,0.0580,0.0056,0.0054,0.0397,0.0400,0.0453,0.0018,0.0015,0.0165,0.0166,0.0180,0.0284,0.0273,0.8107,0.8114,0.8309,0.0010,0.0010,0.0000,0.0000,0.0078
Law School Admission Bar Passage,race1,asian,Massaging,Validation,1,False,Target,XGBClassifier,0.0020,0.0029,0.0367,0.0356,0.0385,0.0130,0.0132,0.0455,0.0453,0.0570,0.0056,0.0059,0.0397,0.0395,0.0444,0.0018,0.0020,0.0165,0.0166,0.0185,0.0284,0.0273,0.8107,0.8118,0.8279,0.0000,0.0015,0.0010,0.0000,0.0112
Law School Admission Bar Passage,race1,asian,Massaging,Test,1,False,Target,XGBClassifier,0.0020,0.0029,0.0367,0.0361,0.0390,0.0130,0.0132,0.0455,0.0458,0.0570,0.0056,0.0054,0.0397,0.0400,0.0448,0.0018,0.0015,0.0165,0.0166,0.0175,0.0284,0.0273,0.8107,0.8114,0.8280,0.0000,0.0019,0.0005,0.0005,0.0107
Law School Admission Bar Passage,race1,asian,Massaging,Validation,2,False,Surrogate,LogisticRegression,0.0020,0.0029,0.0367,0.0356,0.0385,0.0130,0.0132,0.0455,0.0453,0.0585,0.0056,0.0059,0.0397,0.0395,0.0453,0.0018,0.0020,0.0165,0.0166,0.0185,0.0284,0.0273,0.8107,0.8118,0.8391,0.0000,0.0000,0.0000,0.0000,0.0000
Law School Admission Bar Passage,race1,asian,Massaging,Validation,2,False,Surrogate,SVC,0.0020,0.0029,0.0367,0.0356,0.0385,0.0130,0.0132,0.0455,0.0453,0.0585,0.0056,0.0059,0.0397,0.0395,0.0453,0.0018,0.0020,0.0165,0.0166,0.0185,0.0284,0.0273,0.8107,0.8118,0.8391,0.0000,0.0000,0.0000,0.0000,0.0000
Law School Admission Bar Passage,race1,asian,Massaging,Validation,2,False,Surrogate,GaussianNB,0.0020,0.0029,0.0367,0.0356,0.0278,0.0130,0.0132,0.0455,0.0453,0.0185,0.0056,0.0059,0.0397,0.0395,0.0234,0.0018,0.0020,0.0165,0.0166,0.0102,0.0284,0.0273,0.8107,0.8118,0.5266,0.0107,0.0400,0.0219,0.0083,0.3125
Law School Admission Bar Passage,race1,asian,Massaging,Validation,2,False,Surrogate,DecisionTreeClassifier,0.0020,0.0029,0.0367,0.0356,0.0361,0.0130,0.0132,0.0455,0.0453,0.0536,0.0056,0.0059,0.0397,0.0395,0.0410,0.0018,0.0020,0.0165,0.0166,0.0166,0.0284,0.0273,0.8107,0.8118,0.8016,0.0024,0.0049,0.0044,0.0020,0.0375
Law School Admission Bar Passage,race1,asian,Massaging,Validation,2,False,Surrogate,RandomForestClassifier,0.0020,0.0029,0.0367,0.0356,0.0371,0.0130,0.0132,0.0455,0.0453,0.0570,0.0056,0.0059,0.0397,0.0395,0.0453,0.0018,0.0020,0.0165,0.0166,0.0185,0.0284,0.0273,0.8107,0.8118,0.8323,0.0015,0.0015,0.0000,0.0000,0.0068
Law School Admission Bar Passage,race1,asian,Massaging,Test,2,False,Surrogate,LogisticRegression,0.0020,0.0029,0.0367,0.0361,0.0390,0.0130,0.0132,0.0455,0.0458,0.0590,0.0056,0.0054,0.0397,0.0400,0.0453,0.0018,0.0015,0.0165,0.0166,0.0180,0.0284,0.0273,0.8107,0.8114,0.8387,0.0000,0.0000,0.0000,0.0000,0.0000
Law School Admission Bar Passage,race1,asian,Massaging,Test,2,False,Surrogate,SVC,0.0020,0.0029,0.0367,0.0361,0.0390,0.0130,0.0132,0.0455,0.0458,0.0590,0.0056,0.0054,0.0397,0.0400,0.0453,0.0018,0.0015,0.0165,0.0166,0.0180,0.0284,0.0273,0.8107,0.8114,0.8387,0.0000,0.0000,0.0000,0.0000,0.0000
Law School Admission Bar Passage,race1,asian,Massaging,Test,2,False,Surrogate,GaussianNB,0.0020,0.0029,0.0367,0.0361,0.0258,0.0130,0.0132,0.0455,0.0458,0.0132,0.0056,0.0054,0.0397,0.0400,0.0205,0.0018,0.0015,0.0165,0.0166,0.0073,0.0284,0.0273,0.8107,0.8114,0.5429,0.0132,0.0458,0.0249,0.0107,0.2958
Law School Admission Bar Passage,race1,asian,Massaging,Test,2,False,Surrogate,DecisionTreeClassifier,0.0020,0.0029,0.0367,0.0361,0.0375,0.0130,0.0132,0.0455,0.0458,0.0507,0.0056,0.0054,0.0397,0.0400,0.0434,0.0018,0.0015,0.0165,0.0166,0.0156,0.0284,0.0273,0.8107,0.8114,0.7963,0.0015,0.0083,0.0019,0.0024,0.0424
Law School Admission Bar Passage,race1,asian,Massaging,Test,2,False,Surrogate,RandomForestClassifier,0.0020,0.0029,0.0367,0.0361,0.0380,0.0130,0.0132,0.0455,0.0458,0.0580,0.0056,0.0054,0.0397,0.0400,0.0453,0.0018,0.0015,0.0165,0.0166,0.0180,0.0284,0.0273,0.8107,0.8114,0.8309,0.0010,0.0010,0.0000,0.0000,0.0078
Law School Admission Bar Passage,race1,asian,Massaging,Validation,2,False,Target,XGBClassifier,0.0020,0.0029,0.0367,0.0356,0.0385,0.0130,0.0132,0.0455,0.0453,0.0570,0.0056,0.0059,0.0397,0.0395,0.0444,0.0018,0.0020,0.0165,0.0166,0.0185,0.0284,0.0273,0.8107,0.8118,0.8279,0.0000,0.0015,0.0010,0.0000,0.0112
Law School Admission Bar Passage,race1,asian,Massaging,Test,2,False,Target,XGBClassifier,0.0020,0.0029,0.0367,0.0361,0.0390,0.0130,0.0132,0.0455,0.0458,0.0570,0.0056,0.0054,0.0397,0.0400,0.0448,0.0018,0.0015,0.0165,0.0166,0.0175,0.0284,0.0273,0.8107,0.8114,0.8280,0.0000,0.0019,0.0005,0.0005,0.0107
Law School Admission Bar Passage,race1,black,Massaging,Validation,1,False,Surrogate,LogisticRegression,0.0035,0.0029,0.0353,0.0356,0.0385,0.0030,0.0132,0.0556,0.0453,0.0585,0.0057,0.0059,0.0396,0.0395,0.0453,0.0020,0.0020,0.0163,0.0166,0.0185,0.0368,0.0273,0.8023,0.8118,0.8391,0.0000,0.0000,0.0000,0.0000,0.0000
Law School Admission Bar Passage,race1,black,Massaging,Validation,1,False,Surrogate,SVC,0.0035,0.0029,0.0353,0.0356,0.0385,0.0030,0.0132,0.0556,0.0453,0.0585,0.0057,0.0059,0.0396,0.0395,0.0453,0.0020,0.0020,0.0163,0.0166,0.0185,0.0368,0.0273,0.8023,0.8118,0.8391,0.0000,0.0000,0.0000,0.0000,0.0000
Law School Admission Bar Passage,race1,black,Massaging,Validation,1,False,Surrogate,GaussianNB,0.0035,0.0029,0.0353,0.0356,0.0380,0.0030,0.0132,0.0556,0.0453,0.0507,0.0057,0.0059,0.0396,0.0395,0.0424,0.0020,0.0020,0.0163,0.0166,0.0161,0.0368,0.0273,0.8023,0.8118,0.8084,0.0005,0.0078,0.0029,0.0024,0.0307
Law School Admission Bar Passage,race1,black,Massaging,Validation,1,False,Surrogate,DecisionTreeClassifier,0.0035,0.0029,0.0353,0.0356,0.0356,0.0030,0.0132,0.0556,0.0453,0.0551,0.0057,0.0059,0.0396,0.0395,0.0410,0.0020,0.0020,0.0163,0.0166,0.0176,0.0368,0.0273,0.8023,0.8118,0.7811,0.0029,0.0034,0.0044,0.0010,0.0580
Law School Admission Bar Passage,race1,black,Massaging,Validation,1,False,Surrogate,RandomForestClassifier,0.0035,0.0029,0.0353,0.0356,0.0375,0.0030,0.0132,0.0556,0.0453,0.0575,0.0057,0.0059,0.0396,0.0395,0.0439,0.0020,0.0020,0.0163,0.0166,0.0180,0.0368,0.0273,0.8023,0.8118,0.8216,0.0010,0.0010,0.0015,0.0005,0.0176
Law School Admission Bar Passage,race1,black,Massaging,Test,1,False,Surrogate,LogisticRegression,0.0035,0.0029,0.0353,0.0361,0.0390,0.0030,0.0132,0.0556,0.0458,0.0590,0.0057,0.0054,0.0396,0.0400,0.0453,0.0020,0.0015,0.0163,0.0166,0.0180,0.0368,0.0273,0.8023,0.8114,0.8387,0.0000,0.0000,0.0000,0.0000,0.0000
Law School Admission Bar Passage,race1,black,Massaging,Test,1,False,Surrogate,SVC,0.0035,0.0029,0.0353,0.0361,0.0390,0.0030,0.0132,0.0556,0.0458,0.0590,0.0057,0.0054,0.0396,0.0400,0.0453,0.0020,0.0015,0.0163,0.0166,0.0180,0.0368,0.0273,0.8023,0.8114,0.8387,0.0000,0.0000,0.0000,0.0000,0.0000
Law School Admission Bar Passage,race1,black,Massaging,Test,1,False,Surrogate,GaussianNB,0.0035,0.0029,0.0353,0.0361,0.0380,0.0030,0.0132,0.0556,0.0458,0.0512,0.0057,0.0054,0.0396,0.0400,0.0419,0.0020,0.0015,0.0163,0.0166,0.0151,0.0368,0.0273,0.8023,0.8114,0.8173,0.0010,0.0078,0.0034,0.0029,0.0214
Law School Admission Bar Passage,race1,black,Massaging,Test,1,False,Surrogate,DecisionTreeClassifier,0.0035,0.0029,0.0353,0.0361,0.0370,0.0030,0.0132,0.0556,0.0458,0.0575,0.0057,0.0054,0.0396,0.0400,0.0419,0.0020,0.0015,0.0163,0.0166,0.0166,0.0368,0.0273,0.8023,0.8114,0.7753,0.0019,0.0015,0.0034,0.0015,0.0634
Law School Admission Bar Passage,race1,black,Massaging,Test,1,False,Surrogate,RandomForestClassifier,0.0035,0.0029,0.0353,0.0361,0.0385,0.0030,0.0132,0.0556,0.0458,0.0580,0.0057,0.0054,0.0396,0.0400,0.0443,0.0020,0.0015,0.0163,0.0166,0.0175,0.0368,0.0273,0.8023,0.8114,0.8187,0.0005,0.0010,0.0010,0.0005,0.0200
Law School Admission Bar Passage,race1,black,Massaging,Validation,1,False,Target,XGBClassifier,0.0035,0.0029,0.0353,0.0356,0.0380,0.0030,0.0132,0.0556,0.0453,0.0575,0.0057,0.0059,0.0396,0.0395,0.0449,0.0020,0.0020,0.0163,0.0166,0.0180,0.0368,0.0273,0.8023,0.8118,0.8181,0.0005,0.0010,0.0005,0.0005,0.0210
Law School Admission Bar Passage,race1,black,Massaging,Test,1,False,Target,XGBClassifier,0.0035,0.0029,0.0353,0.0361,0.0390,0.0030,0.0132,0.0556,0.0458,0.0590,0.0057,0.0054,0.0396,0.0400,0.0443,0.0020,0.0015,0.0163,0.0166,0.0161,0.0368,0.0273,0.8023,0.8114,0.8124,0.0000,0.0000,0.0010,0.0019,0.0263
Law School Admission Bar Passage,race1,black,Massaging,Validation,2,False,Surrogate,LogisticRegression,0.0035,0.0029,0.0353,0.0356,0.0385,0.0030,0.0132,0.0556,0.0453,0.0585,0.0057,0.0059,0.0396,0.0395,0.0453,0.0020,0.0020,0.0163,0.0166,0.0185,0.0368,0.0273,0.8023,0.8118,0.8391,0.0000,0.0000,0.0000,0.0000,0.0000
Law School Admission Bar Passage,race1,black,Massaging,Validation,2,False,Surrogate,SVC,0.0035,0.0029,0.0353,0.0356,0.0385,0.0030,0.0132,0.0556,0.0453,0.0585,0.0057,0.0059,0.0396,0.0395,0.0453,0.0020,0.0020,0.0163,0.0166,0.0185,0.0368,0.0273,0.8023,0.8118,0.8391,0.0000,0.0000,0.0000,0.0000,0.0000
Law School Admission Bar Passage,race1,black,Massaging,Validation,2,False,Surrogate,GaussianNB,0.0035,0.0029,0.0353,0.0356,0.0380,0.0030,0.0132,0.0556,0.0453,0.0507,0.0057,0.0059,0.0396,0.0395,0.0424,0.0020,0.0020,0.0163,0.0166,0.0161,0.0368,0.0273,0.8023,0.8118,0.8084,0.0005,0.0078,0.0029,0.0024,0.0307
Law School Admission Bar Passage,race1,black,Massaging,Validation,2,False,Surrogate,DecisionTreeClassifier,0.0035,0.0029,0.0353,0.0356,0.0356,0.0030,0.0132,0.0556,0.0453,0.0551,0.0057,0.0059,0.0396,0.0395,0.0410,0.0020,0.0020,0.0163,0.0166,0.0176,0.0368,0.0273,0.8023,0.8118,0.7811,0.0029,0.0034,0.0044,0.0010,0.0580
Law School Admission Bar Passage,race1,black,Massaging,Validation,2,False,Surrogate,RandomForestClassifier,0.0035,0.0029,0.0353,0.0356,0.0375,0.0030,0.0132,0.0556,0.0453,0.0575,0.0057,0.0059,0.0396,0.0395,0.0439,0.0020,0.0020,0.0163,0.0166,0.0180,0.0368,0.0273,0.8023,0.8118,0.8216,0.0010,0.0010,0.0015,0.0005,0.0176
Law School Admission Bar Passage,race1,black,Massaging,Test,2,False,Surrogate,LogisticRegression,0.0035,0.0029,0.0353,0.0361,0.0390,0.0030,0.0132,0.0556,0.0458,0.0590,0.0057,0.0054,0.0396,0.0400,0.0453,0.0020,0.0015,0.0163,0.0166,0.0180,0.0368,0.0273,0.8023,0.8114,0.8387,0.0000,0.0000,0.0000,0.0000,0.0000
Law School Admission Bar Passage,race1,black,Massaging,Test,2,False,Surrogate,SVC,0.0035,0.0029,0.0353,0.0361,0.0390,0.0030,0.0132,0.0556,0.0458,0.0590,0.0057,0.0054,0.0396,0.0400,0.0453,0.0020,0.0015,0.0163,0.0166,0.0180,0.0368,0.0273,0.8023,0.8114,0.8387,0.0000,0.0000,0.0000,0.0000,0.0000
Law School Admission Bar Passage,race1,black,Massaging,Test,2,False,Surrogate,GaussianNB,0.0035,0.0029,0.0353,0.0361,0.0380,0.0030,0.0132,0.0556,0.0458,0.0512,0.0057,0.0054,0.0396,0.0400,0.0419,0.0020,0.0015,0.0163,0.0166,0.0151,0.0368,0.0273,0.8023,0.8114,0.8173,0.0010,0.0078,0.0034,0.0029,0.0214
Law School Admission Bar Passage,race1,black,Massaging,Test,2,False,Surrogate,DecisionTreeClassifier,0.0035,0.0029,0.0353,0.0361,0.0370,0.0030,0.0132,0.0556,0.0458,0.0575,0.0057,0.0054,0.0396,0.0400,0.0419,0.0020,0.0015,0.0163,0.0166,0.0166,0.0368,0.0273,0.8023,0.8114,0.7753,0.0019,0.0015,0.0034,0.0015,0.0634
Law School Admission Bar Passage,race1,black,Massaging,Test,2,False,Surrogate,RandomForestClassifier,0.0035,0.0029,0.0353,0.0361,0.0385,0.0030,0.0132,0.0556,0.0458,0.0580,0.0057,0.0054,0.0396,0.0400,0.0443,0.0020,0.0015,0.0163,0.0166,0.0175,0.0368,0.0273,0.8023,0.8114,0.8187,0.0005,0.0010,0.0010,0.0005,0.0200
Law School Admission Bar Passage,race1,black,Massaging,Validation,2,False,Target,XGBClassifier,0.0035,0.0029,0.0353,0.0356,0.0380,0.0030,0.0132,0.0556,0.0453,0.0575,0.0057,0.0059,0.0396,0.0395,0.0449,0.0020,0.0020,0.0163,0.0166,0.0180,0.0368,0.0273,0.8023,0.8118,0.8181,0.0005,0.0010,0.0005,0.0005,0.0210
Law School Admission Bar Passage,race1,black,Massaging,Test,2,False,Target,XGBClassifier,0.0035,0.0029,0.0353,0.0361,0.0390,0.0030,0.0132,0.0556,0.0458,0.0590,0.0057,0.0054,0.0396,0.0400,0.0443,0.0020,0.0015,0.0163,0.0166,0.0161,0.0368,0.0273,0.8023,0.8114,0.8124,0.0000,0.0000,0.0010,0.0019,0.0263
Law School Admission Bar Passage,race1,hisp,Massaging,Validation,1,False,Surrogate,LogisticRegression,0.0032,0.0029,0.0355,0.0356,0.0385,0.0130,0.0132,0.0455,0.0453,0.0585,0.0023,0.0059,0.0430,0.0395,0.0453,0.0019,0.0020,0.0164,0.0166,0.0185,0.0304,0.0273,0.8087,0.8118,0.8391,0.0000,0.0000,0.0000,0.0000,0.0000
Law School Admission Bar Passage,race1,hisp,Massaging,Validation,1,False,Surrogate,SVC,0.0032,0.0029,0.0355,0.0356,0.0385,0.0130,0.0132,0.0455,0.0453,0.0585,0.0023,0.0059,0.0430,0.0395,0.0453,0.0019,0.0020,0.0164,0.0166,0.0185,0.0304,0.0273,0.8087,0.8118,0.8391,0.0000,0.0000,0.0000,0.0000,0.0000
Law School Admission Bar Passage,race1,hisp,Massaging,Validation,1,False,Surrogate,GaussianNB,0.0032,0.0029,0.0355,0.0356,0.0302,0.0130,0.0132,0.0455,0.0453,0.0200,0.0023,0.0059,0.0430,0.0395,0.0297,0.0019,0.0020,0.0164,0.0166,0.0122,0.0304,0.0273,0.8087,0.8118,0.6845,0.0083,0.0385,0.0156,0.0063,0.1546
Law School Admission Bar Passage,race1,hisp,Massaging,Validation,1,False,Surrogate,DecisionTreeClassifier,0.0032,0.0029,0.0355,0.0356,0.0351,0.0130,0.0132,0.0455,0.0453,0.0507,0.0023,0.0059,0.0430,0.0395,0.0419,0.0019,0.0020,0.0164,0.0166,0.0176,0.0304,0.0273,0.8087,0.8118,0.8001,0.0034,0.0078,0.0034,0.0010,0.0390
Law School Admission Bar Passage,race1,hisp,Massaging,Validation,1,False,Surrogate,RandomForestClassifier,0.0032,0.0029,0.0355,0.0356,0.0371,0.0130,0.0132,0.0455,0.0453,0.0556,0.0023,0.0059,0.0430,0.0395,0.0453,0.0019,0.0020,0.0164,0.0166,0.0185,0.0304,0.0273,0.8087,0.8118,0.8308,0.0015,0.0029,0.0000,0.0000,0.0083
Law School Admission Bar Passage,race1,hisp,Massaging,Test,1,False,Surrogate,LogisticRegression,0.0032,0.0029,0.0355,0.0361,0.0390,0.0130,0.0132,0.0455,0.0458,0.0590,0.0023,0.0054,0.0430,0.0400,0.0453,0.0019,0.0015,0.0164,0.0166,0.0180,0.0304,0.0273,0.8087,0.8114,0.8387,0.0000,0.0000,0.0000,0.0000,0.0000
